Date,Time (GMT),Verified (ft),8720218
10/10/2016,10:00,1.8,0.548613228
10/10/2016,11:00,0.93,0.283450168
10/10/2016,12:00,0.22,0.067052728
10/10/2016,13:00,-0.14,-0.042669918
10/10/2016,14:00,-0.1,-0.030478513
10/10/2016,15:00,0.24,0.07314843
10/10/2016,16:00,0.83,0.252971655
10/10/2016,17:00,1.61,0.490704054
10/10/2016,18:00,2.24,0.682718683
10/10/2016,19:00,2.72,0.829015544
10/10/2016,20:00,3.04,0.926546785
10/10/2016,21:00,3.1,0.944833892
10/10/2016,22:00,2.73,0.832063395
10/10/2016,23:00,2.07,0.630905212
11/10/2016,00:00,1.13,0.344407193
11/10/2016,01:00,0.35,0.106674794
11/10/2016,02:00,-0.17,-0.051813472
11/10/2016,03:00,-0.28,-0.085339835
11/10/2016,04:00,0.09,0.027430661
11/10/2016,05:00,0.91,0.277354465
11/10/2016,06:00,1.7,0.518134715
11/10/2016,07:00,2.33,0.710149345
11/10/2016,08:00,2.77,0.8442548
11/10/2016,09:00,3.02,0.920451082
11/10/2016,10:00,2.75,0.838159098
11/10/2016,11:00,2.07,0.630905212
11/10/2016,12:00,1.2,0.365742152
11/10/2016,13:00,0.42,0.128009753
11/10/2016,14:00,-0.08,-0.02438281
11/10/2016,15:00,-0.32,-0.09753124
11/10/2016,16:00,0.05,0.015239256
11/10/2016,17:00,0.85,0.259067358
11/10/2016,18:00,1.67,0.508991161
11/10/2016,19:00,2.32,0.707101493
11/10/2016,20:00,2.88,0.877781164
11/10/2016,21:00,3.25,0.990551661
11/10/2016,22:00,3.36,1.024078025
11/10/2016,23:00,2.9,0.883876867
12/10/2016,00:00,2.13,0.649192319
12/10/2016,01:00,1.09,0.332215788
12/10/2016,02:00,0.21,0.064004877
12/10/2016,03:00,-0.35,-0.106674794
12/10/2016,04:00,-0.26,-0.079244133
12/10/2016,05:00,0.13,0.039622066
12/10/2016,06:00,0.91,0.277354465
12/10/2016,07:00,1.81,0.551661079
12/10/2016,08:00,2.5,0.761962816
12/10/2016,09:00,3.05,0.929594636
12/10/2016,10:00,3.22,0.981408107
12/10/2016,11:00,3.02,0.920451082
12/10/2016,12:00,2.24,0.682718683
12/10/2016,13:00,1.07,0.326120085
12/10/2016,14:00,0.15,0.045717769
12/10/2016,15:00,-0.42,-0.128009753
12/10/2016,16:00,-0.53,-0.161536117
12/10/2016,17:00,-0.11,-0.033526364
12/10/2016,18:00,0.77,0.234684547
12/10/2016,19:00,1.69,0.515086864
12/10/2016,20:00,2.47,0.752819262
12/10/2016,21:00,3.13,0.953977446
12/10/2016,22:00,3.53,1.075891496
12/10/2016,23:00,3.49,1.063700091
