Date and time,8670870,8720218
9/14/2017 22:00,0.796,0.735
9/14/2017 23:00,0.324,0.352
9/15/2017 0:00,-0.183,-0.06
9/15/2017 1:00,-0.618,-0.36
9/15/2017 2:00,-0.869,-0.504
9/15/2017 3:00,-0.813,-0.461
9/15/2017 4:00,-0.467,-0.261
9/15/2017 5:00,-0.01,0.016
9/15/2017 6:00,0.482,0.266
9/15/2017 7:00,0.881,0.511
9/15/2017 8:00,1.055,0.692
9/15/2017 9:00,0.985,0.766
9/15/2017 10:00,0.721,0.634
9/15/2017 11:00,0.312,0.29
9/15/2017 12:00,-0.205,-0.083
9/15/2017 13:00,-0.694,-0.456
9/15/2017 14:00,-1.045,-0.555
9/15/2017 15:00,-1.095,-0.575
9/15/2017 16:00,-0.751,-0.364
9/15/2017 17:00,-0.209,-0.078
9/15/2017 18:00,0.375,0.236
9/15/2017 19:00,0.972,0.518
9/15/2017 20:00,1.279,0.764
9/15/2017 21:00,1.34,0.899
9/15/2017 22:00,1.186,0.896
9/15/2017 23:00,0.841,0.731
9/16/2017 0:00,0.365,0.358
9/16/2017 1:00,-0.101,-0.096
9/16/2017 2:00,-0.636,-0.406
9/16/2017 3:00,-0.911,-0.553
9/16/2017 4:00,-0.905,-0.497
9/16/2017 5:00,-0.603,-0.321
9/16/2017 6:00,-0.113,-0.039
9/16/2017 7:00,0.421,0.214
9/16/2017 8:00,0.865,0.489
9/16/2017 9:00,1.084,0.693
9/16/2017 10:00,1.082,0.768
9/16/2017 11:00,0.813,0.675
9/16/2017 12:00,0.422,0.354
9/16/2017 13:00,-0.15,-0.069
9/16/2017 14:00,-0.662,-0.437
9/16/2017 15:00,-1.043,-0.574
9/16/2017 16:00,-1.155,-0.615
9/16/2017 17:00,-0.817,-0.451
9/16/2017 18:00,-0.238,-0.109
9/16/2017 19:00,0.417,0.221
9/16/2017 20:00,0.96,0.529
9/16/2017 21:00,1.286,0.784
9/16/2017 22:00,1.436,0.961
9/16/2017 23:00,1.32,0.983
9/17/2017 0:00,0.957,0.824
9/17/2017 1:00,0.484,0.433
9/17/2017 2:00,-0.046,-0.018
9/17/2017 3:00,-0.592,-0.399
